food_name,food_img,views,serving,timer,difficulty,ingredient,created_date,recipe_link,reviews,comments
초보도 만들기 쉬운 바스크 치즈케이크,https://recipe1.ezmember.co.kr/cache/recipe/2023/08/11/20536e6414c2aa78139fec29a229ceda1.jpg,71,4인분,60분 이내,초급,"{'sauce': ['[재료]'], 'ingredient_name': ['크림치즈', '설탕', '가는소금', '달걀', '생크림', '박력분', '단호박', '칵테일새우', '국간장', '고추가루', '다진마늘', '다진 대파', '물', '소고기다짐육', '돼지고기다짐육', '토마토', '모닝롤', '체다치즈', '피클', '어린잎채소', '버터', '식용유', '양파', '계란', '우유', '빵가루', '진간장', '소금', '설탕', '다진마늘', '청양고추', '후추', '맛술', '크림치즈', '다진대파', '꿀', '바질', '레몬즙'], 'ingredient_unit': ['320g', '70g', '2g', '2개', '130g', '10g', '1/4개', '10마리 정도', '2스푼', '1스푼', '1스푼', '약간', '100ml', '100g', '200g', '200g', '3개', '3장', '2개', '30g', '1큰술', '3큰술', '250g', '1개', '3큰술', '5큰술', '1큰술', '0.5작은술', '1큰술', '1큰술', '1큰술', '톡톡', '2큰술', '2큰술', '2큰술', '1큰술', '0.5작은술', '1큰술']}",2023-08-11,https://www.10000recipe.com/recipe/7007910,0,0
새우 단호박 찌개 만드는법,https://recipe1.ezmember.co.kr/cache/recipe/2023/08/11/79fd2d16630684a0b7d619c9437403901.jpg,27,2인분,20분 이내,초급,"{'sauce': ['[재료]'], 'ingredient_name': ['크림치즈', '설탕', '가는소금', '달걀', '생크림', '박력분', '단호박', '칵테일새우', '국간장', '고추가루', '다진마늘', '다진 대파', '물', '소고기다짐육', '돼지고기다짐육', '토마토', '모닝롤', '체다치즈', '피클', '어린잎채소', '버터', '식용유', '양파', '계란', '우유', '빵가루', '진간장', '소금', '설탕', '다진마늘', '청양고추', '후추', '맛술', '크림치즈', '다진대파', '꿀', '바질', '레몬즙'], 'ingredient_unit': ['320g', '70g', '2g', '2개', '130g', '10g', '1/4개', '10마리 정도', '2스푼', '1스푼', '1스푼', '약간', '100ml', '100g', '200g', '200g', '3개', '3장', '2개', '30g', '1큰술', '3큰술', '250g', '1개', '3큰술', '5큰술', '1큰술', '0.5작은술', '1큰술', '1큰술', '1큰술', '톡톡', '2큰술', '2큰술', '2큰술', '1큰술', '0.5작은술', '1큰술']}",2023-08-11,https://www.10000recipe.com/recipe/7007909,0,0
햄버거 미니버거 모닝빵 햄버거 만들기 수제버거 패티 함박스테이크 만들기 대파크림치즈 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2023/08/11/590bbdd2e334491c784b6a56017901ac1.jpg,82,3인분,60분 이내,초급,"{'sauce': ['[대파크림치즈]'], 'ingredient_name': ['크림치즈', '설탕', '가는소금', '달걀', '생크림', '박력분', '단호박', '칵테일새우', '국간장', '고추가루', '다진마늘', '다진 대파', '물', '소고기다짐육', '돼지고기다짐육', '토마토', '모닝롤', '체다치즈', '피클', '어린잎채소', '버터', '식용유', '양파', '계란', '우유', '빵가루', '진간장', '소금', '설탕', '다진마늘', '청양고추', '후추', '맛술', '크림치즈', '다진대파', '꿀', '바질', '레몬즙'], 'ingredient_unit': ['320g', '70g', '2g', '2개', '130g', '10g', '1/4개', '10마리 정도', '2스푼', '1스푼', '1스푼', '약간', '100ml', '100g', '200g', '200g', '3개', '3장', '2개', '30g', '1큰술', '3큰술', '250g', '1개', '3큰술', '5큰술', '1큰술', '0.5작은술', '1큰술', '1큰술', '1큰술', '톡톡', '2큰술', '2큰술', '2큰술', '1큰술', '0.5작은술', '1큰술']}",2023-08-11,https://www.10000recipe.com/recipe/7007908,0,0
