category_type_level,category_situation_level,category_ingredient_level,category_method_level,id,food_name,category,음식1,음식2,음식3,음식4,음식5,음식6,음식7,음식8,음식9,음식10,음식1_id,음식2_id,음식3_id,음식4_id,음식5_id,음식6_id,음식7_id,음식8_id,음식9_id,음식10_id
밑반찬,일상,소고기,볶음,10000010,고추볶음,"밑반찬,일상,소고기,볶음",고추볶음,양지볶음,살치살,아메리카브랙퍼스트,베이컨스크램블,아스파라거스말이,소고기스튜,시금치국,완추면,차돌박이볶음된장,10000010.0,10000028.0,10000023.0,10001263.0,10001259.0,10000131.0,10000165.0,10000722.0,10000090.0,10000146.0
밑반찬,일상,소고기,볶음,10000011,고추장,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,튀김 | 밑반찬,일상,소고기,삶기 | 밑반찬,일상,해물류,찜 | 밑반찬,일상,밀가루,끓이기 | 밑반찬,술안주,기타,조림 | 메인반찬,손님접대,해물류,삶기 | 메인반찬,술안주,해물류,찜 | 메인반찬,술안주,건어물류,무침 | 메인반찬,술안주,과일류,끓이기 | 메인반찬,술안주,기타,부침 | 메인반찬,다이어트,돼지고기,튀김 | 메인반찬,다이어트,돼지고기,삶기 | 메인반찬,다이어트,닭고기,데치기 | 메인반찬,다이어트,닭고기,회 | 메인반찬,도시락,해물류,볶음 | 국/탕,도시락,달걀/유제품,회 | 국/탕,도시락,기타,기타 | 디저트,손님접대,건어물류,볶음 | 디저트,기타,소고기,비빔 | 밥/죽/떡,손님접대,닭고기,데치기 | 밥/죽/떡,손님접대,닭고기,회 | 밥/죽/떡,술안주,달걀/유제품,조림 | 밥/죽/떡,영양식,소고기,굽기 | 밥/죽/떡,푸드스타일링,육류,굽기 | 퓨전,술안주,해물류,삶기 | 퓨전,술안주,곡류,부침 | 스프,초스피드,달걀/유제품,회 | 스프,손님접대,쌀,절임",뇨끼,맥앤치즈,김치밥,우렁강된장,달걀덮밥,에그인헬,스키야키,로제떡볶이,청국장,감바스알아히요,10000502.0,10001257.0,10000329.0,10001076.0,10000473.0,10001251.0,10000060.0,10002259.0,10010544.0,10001096.0
밑반찬,일상,소고기,볶음,10000012,김치볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,돼지고기,조림 | 밑반찬,일상,닭고기,찜 | 밑반찬,일상,육류,삶기 | 밑반찬,일상,육류,굽기 | 밑반찬,일상,채소류,회 | 밑반찬,일상,채소류,기타 | 밑반찬,일상,해물류,찜 | 밑반찬,일상,쌀,절임 | 밑반찬,일상,쌀,튀김 | 밑반찬,일상,기타,데치기 | 밑반찬,일상,기타,회 | 밑반찬,초스피드,닭고기,조림 | 밑반찬,초스피드,닭고기,무침 | 밑반찬,초스피드,채소류,삶기 | 밑반찬,초스피드,쌀,무침 | 밑반찬,초스피드,쌀,비빔 | 밑반찬,초스피드,버섯류,기타 | 밑반찬,초스피드,과일류,볶음 | 밑반찬,손님접대,소고기,데치기 | 밑반찬,손님접대,해물류,삶기 | 밑반찬,손님접대,달걀/유제품,끓이기 | 밑반찬,술안주,건어물류,비빔 | 밑반찬,술안주,기타,부침 | 밑반찬,술안주,기타,조림 | 밑반찬,다이어트,닭고기,회 | 밑반찬,간식,콩/견과류,부침",감자볶음,어묵볶음,약고추장,가지볶음,꽈리고추볶음,소세지볶음,소고기볶음,크림스파게티,돼지고기볶음,숙주볶음,10000053.0,10000676.0,10000008.0,10000386.0,10000014.0,10000531.0,10000000.0,10000451.0,10000201.0,10000042.0
밑반찬,일상,소고기,볶음,10000013,깻잎볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,초스피드,버섯류,기타",감자어묵볶음,고추장어묵볶음,고추볶음,살치살,양지볶음,은행볶음,등심볶음,베이컨스크램블,아메리카브랙퍼스트,깨볶음,10001317.0,10001294.0,10000010.0,10000023.0,10000028.0,10002090.0,10000017.0,10001259.0,10001263.0,10002072.0
밑반찬,일상,소고기,볶음,10000014,꽈리고추볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,닭고기,절임 | 밑반찬,일상,채소류,회 | 밑반찬,일상,달걀/유제품,끓이기 | 밑반찬,일상,쌀,절임 | 밑반찬,일상,쌀,튀김 | 밑반찬,일상,과일류,부침 | 밑반찬,일상,콩/견과류,비빔 | 밑반찬,일상,콩/견과류,찜 | 밑반찬,일상,기타,회 | 밑반찬,초스피드,쌀,무침 | 밑반찬,초스피드,쌀,비빔 | 밑반찬,초스피드,밀가루,절임 | 밑반찬,초스피드,버섯류,기타 | 밑반찬,손님접대,해물류,삶기 | 밑반찬,술안주,기타,부침 | 밑반찬,다이어트,소고기,비빔 | 밑반찬,다이어트,닭고기,데치기 | 밑반찬,도시락,닭고기,삶기 | 밑반찬,영양식,콩/견과류,무침 | 밑반찬,간식,밀가루,찜 | 메인반찬,초스피드,콩/견과류,회 | 메인반찬,손님접대,돼지고기,찜",어묵볶음,돼지고기볶음,명란파스타,감자볶음,버섯볶음,계란볶음밥,팟타이,깍두기볶음밥,카레볶음밥,청경채볶음,10000676.0,10000201.0,10000810.0,10000053.0,10000058.0,10000116.0,10000453.0,10000112.0,10000318.0,10000543.0
밑반찬,일상,소고기,볶음,10000015,도시락,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,돼지고기,부침 | 밑반찬,일상,달걀/유제품,볶음 | 밑반찬,일상,쌀,찜 | 밑반찬,일상,건어물류,회 | 밑반찬,초스피드,닭고기,무침 | 밑반찬,초스피드,육류,비빔 | 밑반찬,영양식,닭고기,무침 | 밑반찬,영양식,닭고기,데치기 | 밑반찬,영양식,육류,절임 | 밑반찬,영양식,달걀/유제품,찜 | 밑반찬,영양식,가공식품류,부침 | 밑반찬,영양식,밀가루,튀김 | 밑반찬,영양식,밀가루,삶기 | 밑반찬,영양식,건어물류,끓이기 | 밑반찬,영양식,건어물류,데치기 | 밑반찬,영양식,버섯류,무침 | 밑반찬,영양식,과일류,볶음 | 밑반찬,간식,육류,데치기 | 밑반찬,간식,채소류,절임 | 밑반찬,기타,기타,비빔 | 메인반찬,술안주,달걀/유제품,볶음 | 메인반찬,도시락,달걀/유제품,데치기 | 메인반찬,야식,쌀,비빔 | 메인반찬,해장,닭고기,끓이기 | 메인반찬,해장,채소류,절임 | 국/탕,명절,육류,굽기 | 국/탕,이유식,닭고기,무침 | 국/탕,이유식,쌀,회 | 국/탕,이유식,밀가루,튀김 | 국/탕,이유식,건어물류,끓이기 | 국/탕,이유식,건어물류,데치기 | 국/탕,기타,채소류,절임 | 찌개,푸드스타일링,건어물류,회 | 디저트,손님접대,채소류,절임 | 디저트,기타,육류,비빔 | 밥/죽/떡,손님접대,닭고기,부침 | 밥/죽/떡,손님접대,곡류,무침 | 밥/죽/떡,술안주,달걀/유제품,끓이기 | 밥/죽/떡,영양식,육류,굽기 | 밥/죽/떡,간식,버섯류,비빔 | 밥/죽/떡,간식,과일류,볶음 | 밥/죽/떡,간식,콩/견과류,조림 | 밥/죽/떡,야식,육류,무침 | 김치/젓갈/장류,도시락,콩/견과류,굽기 | 양념/소스/햄,해장,채소류,데치기 | 양식,손님접대,닭고기,무침 | 양식,손님접대,해물류,기타 | 양식,손님접대,건어물류,데치기 | 샐러드,다이어트,달걀/유제품,부침 | 샐러드,영양식,채소류,절임 | 스프,손님접대,육류,튀김 | 스프,손님접대,채소류,데치기 | 스프,간식,육류,굽기 | 스프,야식,닭고기,무침 | 스프,야식,해물류,기타 | 스프,야식,가공식품류,부침 | 스프,야식,건어물류,데치기 | 스프,야식,버섯류,무침 | 스프,야식,과일류,볶음 | 빵,해장,육류,굽기 | 빵,명절,건어물류,데치기",유부초밥,쌈,콘치즈,스크램블에그,브리또,두부김치,오믈렛,찹스테이크,새우볶음,면,10000106.0,10000639.0,10000738.0,10000878.0,10000164.0,10000254.0,10000168.0,10000036.0,10000539.0,10000070.0
밑반찬,일상,소고기,볶음,10000016,들기름막국수,"밑반찬,일상,소고기,볶음 | 메인반찬,도시락,달걀/유제품,볶음 | 디저트,기타,소고기,부침 | 디저트,기타,닭고기,튀김 | 면/만두,술안주,달걀/유제품,튀김 | 면/만두,도시락,콩/견과류,찜 | 밥/죽/떡,초스피드,해물류,조림 | 밥/죽/떡,초스피드,쌀,회 | 밥/죽/떡,손님접대,닭고기,튀김 | 밥/죽/떡,손님접대,과일류,무침 | 밥/죽/떡,술안주,달걀/유제품,볶음 | 밥/죽/떡,영양식,달걀/유제품,튀김 | 밥/죽/떡,간식,소고기,무침 | 양식,기타,쌀,회 | 샐러드,일상,닭고기,튀김 | 샐러드,일상,과일류,무침 | 샐러드,초스피드,채소류,데치기 | 샐러드,다이어트,기타,끓이기 | 샐러드,푸드스타일링,채소류,무침",물냉면,감자삶는법,새우샐러드,비빔냉면,에그,곤약,문어숙회,브로콜리,감동란,스터프드에그,10010581.0,10011496.0,10001124.0,10012319.0,10002913.0,10005521.0,10037274.0,10003617.0,10011792.0,10018054.0
밑반찬,일상,소고기,볶음,10000017,등심볶음,"밑반찬,일상,소고기,볶음",고추볶음,양지볶음,살치살,아메리카브랙퍼스트,베이컨스크램블,아스파라거스말이,소고기스튜,시금치국,완추면,차돌박이볶음된장,10000010.0,10000028.0,10000023.0,10001263.0,10001259.0,10000131.0,10000165.0,10000722.0,10000090.0,10000146.0
밑반찬,일상,소고기,볶음,10000018,마늘쫑볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,끓이기 | 밑반찬,일상,돼지고기,조림 | 밑반찬,일상,채소류,회 | 밑반찬,일상,채소류,기타 | 밑반찬,일상,과일류,부침 | 밑반찬,초스피드,닭고기,조림 | 밑반찬,초스피드,쌀,무침 | 밑반찬,초스피드,쌀,비빔 | 밑반찬,손님접대,버섯류,굽기 | 밑반찬,도시락,곡류,삶기 | 밑반찬,간식,밀가루,찜 | 메인반찬,손님접대,돼지고기,찜",미트볼스파게티,달걀볶음밥,볶음쌀국수,감자채볶음,불닭볶음면,펜네파스타,느타리버섯볶음,김치덮밥,표고버섯볶음,라면볶음,10000074.0,10000481.0,10000069.0,10000663.0,10000445.0,10000761.0,10000215.0,10000328.0,10000005.0,10000085.0
밑반찬,일상,소고기,볶음,10000019,무나물,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,채소류,회 | 밑반찬,초스피드,쌀,무침 | 밑반찬,도시락,닭고기,튀김 | 밑반찬,간식,밀가루,찜 | 밑반찬,기타,건어물류,튀김 | 메인반찬,손님접대,돼지고기,찜 | 메인반찬,술안주,채소류,회 | 밥/죽/떡,일상,돼지고기,찜",고구마줄기볶음,오이볶음,취나물볶음,무나물볶음,고사리나물볶음,공심채볶음,콩나물볶음,해물볶음,고추장파스타,도라지볶음,10000666.0,10000052.0,10000680.0,10000671.0,10000674.0,10000708.0,10000397.0,10000975.0,10001645.0,10000714.0
밑반찬,일상,소고기,볶음,10000020,미역볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,달걀/유제품,끓이기 | 밑반찬,일상,과일류,조림 | 밑반찬,초스피드,닭고기,조림",보리새우볶음,치킨볶음밥,반건조오징어볶음,머위대볶음,천연조미료,깨,야끼우동,참치김치볶음,고구마순볶음,단호박크림파스타,10000947.0,10000461.0,10000983.0,10000224.0,10001084.0,10000843.0,10001031.0,10001302.0,10000009.0,10000762.0
밑반찬,일상,소고기,볶음,10000021,불고기,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,끓이기 | 밑반찬,일상,소고기,비빔 | 밑반찬,일상,돼지고기,부침 | 밑반찬,일상,돼지고기,조림 | 밑반찬,일상,돼지고기,무침 | 밑반찬,일상,육류,굽기 | 밑반찬,일상,채소류,볶음 | 밑반찬,일상,건어물류,끓이기 | 밑반찬,일상,과일류,조림 | 밑반찬,일상,콩/견과류,찜 | 밑반찬,초스피드,육류,절임 | 밑반찬,초스피드,육류,데치기 | 밑반찬,초스피드,채소류,굽기 | 밑반찬,초스피드,해물류,끓이기 | 밑반찬,손님접대,달걀/유제품,기타 | 밑반찬,손님접대,가공식품류,기타 | 밑반찬,손님접대,쌀,부침 | 밑반찬,손님접대,건어물류,튀김 | 밑반찬,손님접대,콩/견과류,볶음 | 밑반찬,술안주,건어물류,비빔 | 밑반찬,다이어트,소고기,찜 | 밑반찬,다이어트,곡류,회 | 밑반찬,도시락,돼지고기,찜 | 밑반찬,영양식,돼지고기,조림 | 밑반찬,간식,채소류,삶기 | 밑반찬,간식,해물류,회 | 밑반찬,간식,쌀,무침 | 밑반찬,간식,밀가루,절임 | 밑반찬,기타,해물류,데치기 | 밑반찬,기타,가공식품류,볶음 | 밑반찬,기타,밀가루,찜 | 메인반찬,일상,건어물류,찜 | 메인반찬,술안주,소고기,끓이기 | 메인반찬,술안주,돼지고기,무침 | 메인반찬,술안주,육류,굽기 | 메인반찬,도시락,달걀/유제품,기타 | 메인반찬,도시락,건어물류,튀김 | 메인반찬,해장,쌀,무침 | 국/탕,손님접대,해물류,회 | 국/탕,영양식,돼지고기,조림 | 찌개,푸드스타일링,과일류,조림 | 찌개,명절,달걀/유제품,기타 | 양식,다이어트,밀가루,부침 | 스프,손님접대,소고기,끓이기 | 스프,손님접대,육류,굽기 | 스프,손님접대,과일류,조림 | 스프,술안주,육류,절임 | 스프,술안주,채소류,굽기 | 스프,도시락,건어물류,비빔 | 스프,푸드스타일링,쌀,무침 | 스프,해장,쌀,끓이기 | 스프,명절,소고기,튀김 | 빵,일상,소고기,비빔 | 빵,초스피드,밀가루,찜",토마토파스타,오일파스타,까르보나라,로제파스타,소고기볶음,볶음면,김치볶음밥,궁중떡볶이,오므라이스,볶음우동,10000080.0,10000076.0,10000126.0,10000086.0,10000000.0,10000071.0,10000104.0,10000054.0,10000123.0,10000068.0
밑반찬,일상,소고기,볶음,10000022,불고기볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,끓이기 | 밑반찬,일상,육류,삶기 | 밑반찬,일상,육류,굽기 | 밑반찬,손님접대,달걀/유제품,기타 | 밑반찬,손님접대,버섯류,굽기 | 밑반찬,간식,채소류,삶기",소고기가지볶음,꽈리고추멸치볶음,소고기숙주볶음,제육덮밥,쭈삼불고기,소고기고추장볶음,오이볶음,견과류멸치볶음,새우스파게티,햄김치볶음밥,10000003.0,10000686.0,10000035.0,10000302.0,10000566.0,10000001.0,10000052.0,10000952.0,10001022.0,10000800.0
밑반찬,일상,소고기,볶음,10000023,살치살,"밑반찬,일상,소고기,볶음",고추볶음,양지볶음,살치살,아메리카브랙퍼스트,베이컨스크램블,아스파라거스말이,소고기스튜,시금치국,완추면,차돌박이볶음된장,10000010.0,10000028.0,10000023.0,10001263.0,10001259.0,10000131.0,10000165.0,10000722.0,10000090.0,10000146.0
밑반찬,일상,소고기,볶음,10000024,새송이버섯볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,닭고기,찜 | 밑반찬,일상,콩/견과류,비빔 | 밑반찬,손님접대,소고기,데치기 | 밑반찬,술안주,기타,부침 | 밑반찬,다이어트,쌀,굽기 | 밑반찬,도시락,닭고기,튀김 | 밑반찬,도시락,버섯류,끓이기 | 밑반찬,간식,밀가루,찜 | 메인반찬,초스피드,달걀/유제품,절임 | 메인반찬,손님접대,닭고기,튀김 | 국/탕,영양식,콩/견과류,비빔",햄볶음,두부면볶음,닭고기볶음,오이볶음,닭볶음,표고버섯볶음,느타리버섯볶음,채소볶음,두부잡채,낙지볶음,10001297.0,10000288.0,10000384.0,10000052.0,10000385.0,10000005.0,10000215.0,10001341.0,10002007.0,10000966.0
밑반찬,일상,소고기,볶음,10000025,애호박볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,육류,삶기 | 밑반찬,일상,채소류,회 | 밑반찬,일상,달걀/유제품,볶음 | 밑반찬,일상,달걀/유제품,끓이기 | 밑반찬,일상,콩/견과류,비빔 | 밑반찬,초스피드,육류,찜 | 밑반찬,초스피드,쌀,무침 | 밑반찬,손님접대,소고기,데치기 | 밑반찬,술안주,기타,부침 | 밑반찬,도시락,닭고기,튀김 | 밑반찬,간식,밀가루,찜 | 메인반찬,일상,곡류,볶음 | 메인반찬,일상,기타,조림 | 메인반찬,초스피드,돼지고기,삶기 | 메인반찬,초스피드,달걀/유제품,절임 | 찌개,푸드스타일링,닭고기,찜",멸치볶음,카레볶음밥,마늘쫑볶음,펜네파스타,잡채밥,파인애플볶음밥,불닭볶음면,느타리버섯볶음,볶음고추장,참치볶음밥,10000936.0,10000318.0,10000018.0,10000761.0,10000317.0,10000124.0,10000445.0,10000215.0,10000006.0,10000799.0
